"time","area","vote1","vote2","vote3","vote4","vote5","vote6","vote7","open"
"2014-11-29 16:50:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:51:05",2,24,3,57,0,0,0,0,1
"2014-11-29 16:51:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:52:06",2,24,3,57,0,0,0,0,1
"2014-11-29 16:52:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:53:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:54:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:55:09",2,24,3,57,0,0,0,0,1
"2014-11-29 16:55:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:56:10",2,24,3,57,0,0,0,0,1
"2014-11-29 16:56:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:57:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:58:12",2,24,3,57,0,0,0,0,1
"2014-11-29 16:58:50",2,24,3,57,0,0,0,0,1
"2014-11-29 16:59:50",2,92,7,202,0,0,0,0,2
"2014-11-29 17:00:14",2,92,7,202,0,0,0,0,2
"2014-11-29 17:00:50",2,92,7,202,0,0,0,0,2
"2014-11-29 17:01:15",2,92,7,202,0,0,0,0,2
"2014-11-29 17:01:50",2,92,7,202,0,0,0,0,2
"2014-11-29 17:02:50",2,164,8,295,0,0,0,0,3
"2014-11-29 17:03:50",2,164,8,295,0,0,0,0,3
"2014-11-29 17:04:50",2,164,8,295,0,0,0,0,3
"2014-11-29 17:05:19",2,164,8,295,0,0,0,0,3
"2014-11-29 17:05:50",2,553,20,620,0,0,0,0,5
"2014-11-29 17:06:50",2,553,20,620,0,0,0,0,5
"2014-11-29 17:07:21",2,553,20,620,0,0,0,0,5
"2014-11-29 17:07:50",2,553,20,620,0,0,0,0,5
"2014-11-29 17:08:50",2,992,29,1099,0,0,0,0,7
"2014-11-29 17:09:23",2,992,29,1099,0,0,0,0,7
"2014-11-29 17:09:50",2,992,29,1099,0,0,0,0,7
"2014-11-29 17:10:50",2,992,29,1099,0,0,0,0,7
"2014-11-29 17:11:50",2,1389,38,1445,0,0,0,0,10
"2014-11-29 17:12:50",2,1389,38,1445,0,0,0,0,10
"2014-11-29 17:13:27",2,1389,38,1445,0,0,0,0,10
"2014-11-29 17:13:50",2,1389,38,1445,0,0,0,0,10
"2014-11-29 17:14:50",2,2069,67,2259,0,0,0,0,16
"2014-11-29 17:15:50",2,2069,67,2259,0,0,0,0,16
"2014-11-29 17:16:50",2,2069,67,2259,0,0,0,0,16
"2014-11-29 17:17:50",2,2696,84,2901,0,0,0,0,21
"2014-11-29 17:18:50",2,2696,84,2901,0,0,0,0,21
"2014-11-29 17:19:50",2,2696,84,2901,0,0,0,0,21
"2014-11-29 17:20:50",2,3859,118,4033,0,0,0,0,28
"2014-11-29 17:21:50",2,3859,118,4033,0,0,0,0,28
"2014-11-29 17:22:36",2,3859,118,4033,0,0,0,0,28
"2014-11-29 17:22:50",2,3859,118,4033,0,0,0,0,28
"2014-11-29 17:23:37",2,3859,118,4033,0,0,0,0,28
"2014-11-29 17:23:50",2,4547,136,4823,0,0,0,0,33
"2014-11-29 17:24:50",2,4547,136,4823,0,0,0,0,33
"2014-11-29 17:25:50",2,4547,136,4823,0,0,0,0,33
"2014-11-29 17:26:40",2,4547,136,4823,0,0,0,0,33
"2014-11-29 17:26:50",2,5445,157,5672,0,0,0,0,39
"2014-11-29 17:27:41",2,5445,157,5672,0,0,0,0,39
"2014-11-29 17:27:50",2,5445,157,5672,0,0,0,0,39
"2014-11-29 17:28:42",2,5445,157,5672,0,0,0,0,39
"2014-11-29 17:28:50",2,5445,157,5672,0,0,0,0,39
"2014-11-29 17:29:50",2,7813,203,7923,0,0,0,0,49
