"time","area","vote1","vote2","vote3","vote4","vote5","vote6","vote7","open"
"2014-11-29 17:21:35",3,369,245,13,0,0,0,0,1
"2014-11-29 17:25:39",3,369,245,13,0,0,0,0,1
"2014-11-29 17:37:10",3,1512,1175,37,0,0,0,0,4
"2014-11-29 17:38:31",3,2008,1792,44,0,0,0,0,6
"2014-11-29 17:46:17",3,3965,3986,95,0,0,0,0,13
"2014-11-29 17:55:49",3,8151,6945,155,0,0,0,0,23
"2014-11-29 17:56:49",3,10551,9214,214,0,0,0,0,30
"2014-11-29 18:00:12",3,13456,12060,252,0,0,0,0,39
"2014-11-29 18:04:15",3,16912,14931,308,0,0,0,0,47
"2014-11-29 18:05:36",3,20775,18210,379,0,0,0,0,56
"2014-11-29 18:06:55",3,20775,18210,379,0,0,0,0,56
"2014-11-29 18:14:35",3,40695,35977,738,0,0,0,0,105
"2014-11-29 18:29:00",3,69290,60873,1277,0,0,0,0,172
"2014-11-29 18:30:21",3,79715,70247,1464,0,0,0,0,197
"2014-11-29 18:31:22",3,79715,70247,1464,0,0,0,0,197
"2014-11-29 18:32:23",3,92906,81420,1716,0,0,0,0,229
"2014-11-29 18:36:26",3,99855,87853,1822,0,0,0,0,246
"2014-11-29 18:48:41",3,154351,136575,2898,0,0,0,0,370
"2014-11-29 18:51:04",3,166833,148547,3147,0,0,0,0,399
"2014-11-29 18:52:04",3,166833,148547,3147,0,0,0,0,399
"2014-11-29 19:00:26",3,207601,184717,3971,0,0,0,0,488
"2014-11-29 19:05:50",3,235734,211129,4504,0,0,0,0,549
"2014-11-29 19:25:05",3,312942,281293,6008,0,0,0,0,710
"2014-11-29 19:26:06",3,312942,281293,6008,0,0,0,0,710
"2014-11-29 19:27:07",3,324671,291953,6244,0,0,0,0,734
"2014-11-29 19:28:08",3,324671,291953,6244,0,0,0,0,734
"2014-11-29 19:29:09",3,324671,291953,6244,0,0,0,0,734
"2014-11-29 19:34:13",3,351752,316567,6766,0,0,0,0,790
"2014-11-29 19:45:14",3,395332,360920,7741,0,0,0,0,882
"2014-11-29 19:46:15",3,395332,360920,7741,0,0,0,0,882
"2014-11-29 19:46:59",3,395332,360920,7741,0,0,0,0,882
"2014-11-29 19:47:59",3,405835,371256,7971,0,0,0,0,903
"2014-11-29 19:48:59",3,405835,371256,7971,0,0,0,0,903
"2014-11-29 19:49:59",3,405835,371256,7971,0,0,0,0,903
"2014-11-29 19:50:59",3,414171,380761,8182,0,0,0,0,921
"2014-11-29 19:51:59",3,414171,380761,8182,0,0,0,0,921
"2014-11-29 19:52:59",3,414171,380761,8182,0,0,0,0,921
"2014-11-29 19:53:59",3,420807,386954,8294,0,0,0,0,934
"2014-11-29 19:54:59",3,420807,386954,8294,0,0,0,0,934
"2014-11-29 19:55:59",3,420807,386954,8294,0,0,0,0,934
"2014-11-29 19:56:59",3,428594,394835,8481,0,0,0,0,950
"2014-11-29 19:57:59",3,428594,394835,8481,0,0,0,0,950
