"time","area","vote1","vote2","vote3","vote4","vote5","vote6","vote7","open"
"2014-11-29 17:32:38",1,3,5,1,1,2,299,384,1
"2014-11-29 17:32:46",1,3,5,1,1,2,299,384,1
"2014-11-29 17:33:38",1,3,5,1,1,2,299,384,1
"2014-11-29 17:33:47",1,3,5,1,1,2,299,384,1
"2014-11-29 17:34:38",1,3,5,1,1,2,299,384,1
"2014-11-29 17:34:48",1,3,5,1,1,2,299,384,1
"2014-11-29 17:35:38",1,3,7,3,2,4,403,576,2
"2014-11-29 17:35:49",1,3,7,3,2,4,403,576,2
"2014-11-29 17:36:38",1,3,7,3,2,4,403,576,2
"2014-11-29 17:37:38",1,3,7,3,2,4,403,576,2
"2014-11-29 17:38:38",1,5,24,8,3,11,1179,1565,4
"2014-11-29 17:39:38",1,5,24,8,3,11,1179,1565,4
"2014-11-29 17:40:38",1,5,24,8,3,11,1179,1565,4
"2014-11-29 17:41:38",1,8,33,10,5,20,1637,2100,5
"2014-11-29 17:42:38",1,8,33,10,5,20,1637,2100,5
"2014-11-29 17:43:38",1,8,33,10,5,20,1637,2100,5
"2014-11-29 17:44:38",1,9,47,13,7,25,2219,2926,7
"2014-11-29 17:45:38",1,9,47,13,7,25,2219,2926,7
"2014-11-29 17:46:38",1,9,47,13,7,25,2219,2926,7
"2014-11-29 17:47:38",1,9,47,13,7,25,2219,2926,7
"2014-11-29 17:48:38",1,9,47,13,7,25,2219,2926,7
"2014-11-29 17:48:59",1,9,47,13,7,25,2219,2926,7
"2014-11-29 17:49:38",1,9,47,13,7,25,2219,2926,7
"2014-11-29 17:50:38",1,17,94,18,12,42,3755,4924,11
"2014-11-29 17:51:38",1,17,94,18,12,42,3755,4924,11
"2014-11-29 17:52:22",1,17,94,18,12,42,3755,4924,11
"2014-11-29 17:52:38",1,17,94,18,12,42,3755,4924,11
"2014-11-29 17:53:38",1,20,159,24,14,72,5826,7549,17
"2014-11-29 17:54:38",1,20,159,24,14,72,5826,7549,17
"2014-11-29 17:55:38",1,20,159,24,14,72,5826,7549,17
"2014-11-29 17:56:38",1,24,229,30,20,95,8321,11126,24
"2014-11-29 17:57:38",1,24,229,30,20,95,8321,11126,24
"2014-11-29 17:57:50",1,24,229,30,20,95,8321,11126,24
"2014-11-29 17:58:38",1,24,229,30,20,95,8321,11126,24
"2014-11-29 17:58:51",1,24,229,30,20,95,8321,11126,24
"2014-11-29 17:59:38",1,24,249,31,21,108,9144,12446,27
"2014-11-29 18:00:38",1,24,249,31,21,108,9144,12446,27
"2014-11-29 18:01:38",1,24,249,31,21,108,9144,12446,27
"2014-11-29 18:02:38",1,28,294,36,31,130,10741,15071,33
"2014-11-29 18:03:38",1,28,294,36,31,130,10741,15071,33
"2014-11-29 18:04:38",1,28,294,36,31,130,10741,15071,33
"2014-11-29 18:05:38",1,39,385,46,45,178,13943,20694,43
"2014-11-29 18:06:38",1,39,385,46,45,178,13943,20694,43
"2014-11-29 18:07:38",1,39,385,46,45,178,13943,20694,43
"2014-11-29 18:08:38",1,61,500,59,56,240,18766,27413,56
"2014-11-29 18:09:38",1,61,500,59,56,240,18766,27413,56
"2014-11-29 18:10:38",1,61,500,59,56,240,18766,27413,56
"2014-11-29 18:11:03",1,82,639,80,71,291,23603,34711,70
"2014-11-29 18:11:38",1,82,639,80,71,291,23603,34711,70
"2014-11-29 18:12:24",1,82,639,80,71,291,23603,34711,70
"2014-11-29 18:12:38",1,82,639,80,71,291,23603,34711,70
"2014-11-29 18:13:38",1,82,639,80,71,291,23603,34711,70
"2014-11-29 18:14:38",1,98,771,107,84,345,28626,42431,84
"2014-11-29 18:15:38",1,98,771,107,84,345,28626,42431,84
"2014-11-29 18:16:38",1,98,771,107,84,345,28626,42431,84
"2014-11-29 18:17:38",1,110,871,129,102,420,33333,48926,97
"2014-11-29 18:18:38",1,110,871,129,102,420,33333,48926,97
"2014-11-29 18:19:38",1,110,871,129,102,420,33333,48926,97
"2014-11-29 18:20:38",1,122,1010,155,127,497,38254,55786,110
"2014-11-29 18:21:38",1,122,1010,155,127,497,38254,55786,110
"2014-11-29 18:22:38",1,122,1010,155,127,497,38254,55786,110
"2014-11-29 18:23:38",1,133,1199,184,152,574,44395,64309,126
"2014-11-29 18:24:38",1,133,1199,184,152,574,44395,64309,126
"2014-11-29 18:25:38",1,133,1199,184,152,574,44395,64309,126
"2014-11-29 18:26:38",1,145,1334,206,172,641,49562,71114,140
"2014-11-29 18:27:38",1,145,1334,206,172,641,49562,71114,140
"2014-11-29 18:28:38",1,145,1334,206,172,641,49562,71114,140
"2014-11-29 18:29:38",1,170,1599,253,211,790,59908,87418,169
"2014-11-29 18:30:38",1,170,1599,253,211,790,59908,87418,169
"2014-11-29 18:31:38",1,170,1599,253,211,790,59908,87418,169
"2014-11-29 18:32:38",1,204,1899,293,246,915,70389,102291,198
"2014-11-29 18:33:38",1,204,1899,293,246,915,70389,102291,198
"2014-11-29 18:33:44",1,204,1899,293,246,915,70389,102291,198
"2014-11-29 18:34:38",1,204,1899,293,246,915,70389,102291,198
"2014-11-29 18:35:38",1,217,2054,322,264,993,76635,111336,215
"2014-11-29 18:36:38",1,217,2054,322,264,993,76635,111336,215
"2014-11-29 18:37:38",1,217,2054,322,264,993,76635,111336,215
"2014-11-29 18:38:38",1,237,2262,367,288,1105,86146,124039,240
"2014-11-29 18:39:38",1,237,2262,367,288,1105,86146,124039,240
"2014-11-29 18:40:38",1,237,2262,367,288,1105,86146,124039,240
"2014-11-29 18:41:38",1,259,2553,413,330,1236,96692,139816,269
"2014-11-29 18:42:38",1,259,2553,413,330,1236,96692,139816,269
"2014-11-29 18:43:38",1,259,2553,413,330,1236,96692,139816,269
"2014-11-29 18:44:38",1,287,2851,453,371,1387,108224,155786,299
"2014-11-29 18:45:38",1,287,2851,453,371,1387,108224,155786,299
"2014-11-29 18:46:38",1,287,2851,453,371,1387,108224,155786,299
"2014-11-29 18:47:38",1,321,3205,512,418,1578,121985,173496,334
"2014-11-29 18:48:38",1,321,3205,512,418,1578,121985,173496,334
"2014-11-29 18:49:38",1,321,3205,512,418,1578,121985,173496,334
"2014-11-29 18:50:38",1,356,3526,566,449,1736,133954,190525,364
"2014-11-29 18:51:38",1,356,3526,566,449,1736,133954,190525,364
"2014-11-29 18:52:38",1,356,3526,566,449,1736,133954,190525,364
"2014-11-29 18:53:38",1,391,3909,638,500,1956,148629,210965,402
"2014-11-29 18:54:38",1,391,3909,638,500,1956,148629,210965,402
"2014-11-29 18:55:38",1,391,3909,638,500,1956,148629,210965,402
"2014-11-29 18:56:38",1,416,4223,686,545,2108,160685,227162,433
"2014-11-29 18:57:38",1,416,4223,686,545,2108,160685,227162,433
"2014-11-29 18:58:38",1,416,4223,686,545,2108,160685,227162,433
"2014-11-29 18:59:38",1,461,4610,750,591,2304,175008,247517,468
"2014-11-29 19:00:38",1,461,4610,750,591,2304,175008,247517,468
"2014-11-29 19:01:38",1,461,4610,750,591,2304,175008,247517,468
"2014-11-29 19:02:38",1,497,4999,803,633,2489,189238,267414,503
"2014-11-29 19:03:38",1,497,4999,803,633,2489,189238,267414,503
"2014-11-29 19:04:38",1,497,4999,803,633,2489,189238,267414,503
"2014-11-29 19:05:38",1,535,5389,851,678,2671,203110,287003,537
"2014-11-29 19:06:38",1,535,5389,851,678,2671,203110,287003,537
"2014-11-29 19:07:38",1,535,5389,851,678,2671,203110,287003,537
"2014-11-29 19:08:38",1,568,5785,909,712,2864,217838,306737,573
"2014-11-29 19:09:38",1,568,5785,909,712,2864,217838,306737,573
"2014-11-29 19:10:38",1,568,5785,909,712,2864,217838,306737,573
"2014-11-29 19:11:38",1,593,6086,966,744,3016,229853,324650,604
"2014-11-29 19:12:38",1,593,6086,966,744,3016,229853,324650,604
