"time","area","vote1","vote2","vote3","vote4","vote5","vote6","vote7","open"
"2014-11-29 16:57:11",6,3,190,44,0,0,0,0,1
"2014-11-29 16:57:19",6,3,190,44,0,0,0,0,1
"2014-11-29 16:58:19",6,3,190,44,0,0,0,0,1
"2014-11-29 16:59:13",6,3,190,44,0,0,0,0,1
"2014-11-29 16:59:19",6,3,190,44,0,0,0,0,1
"2014-11-29 17:00:19",6,8,550,239,0,0,0,0,2
"2014-11-29 17:00:29",6,8,550,239,0,0,0,0,2
"2014-11-29 17:01:19",6,8,550,239,0,0,0,0,2
"2014-11-29 17:01:29",6,8,550,239,0,0,0,0,2
"2014-11-29 17:02:19",6,8,550,239,0,0,0,0,2
"2014-11-29 17:02:29",6,8,550,239,0,0,0,0,2
"2014-11-29 17:03:19",6,10,797,333,0,0,0,0,3
"2014-11-29 17:03:29",6,10,797,333,0,0,0,0,3
"2014-11-29 17:04:18",6,10,797,333,0,0,0,0,3
"2014-11-29 17:04:19",6,10,797,333,0,0,0,0,3
"2014-11-29 17:04:29",6,10,797,333,0,0,0,0,3
"2014-11-29 17:05:29",6,10,797,333,0,0,0,0,3
"2014-11-29 17:06:19",6,22,1339,670,0,0,0,0,5
"2014-11-29 17:06:20",6,22,1339,670,0,0,0,0,5
"2014-11-29 17:06:29",6,22,1339,670,0,0,0,0,5
"2014-11-29 17:07:19",6,22,1339,670,0,0,0,0,5
"2014-11-29 17:07:29",6,22,1339,670,0,0,0,0,5
"2014-11-29 17:08:19",6,22,1339,670,0,0,0,0,5
"2014-11-29 17:08:29",6,22,1339,670,0,0,0,0,5
"2014-11-29 17:09:19",6,29,1837,1068,0,0,0,0,8
"2014-11-29 17:09:29",6,29,1837,1068,0,0,0,0,8
"2014-11-29 17:10:19",6,29,1837,1068,0,0,0,0,8
"2014-11-29 17:10:29",6,29,1837,1068,0,0,0,0,8
"2014-11-29 17:11:19",6,29,1837,1068,0,0,0,0,8
"2014-11-29 17:11:29",6,29,1837,1068,0,0,0,0,8
"2014-11-29 17:12:19",6,58,4048,1916,0,0,0,0,14
"2014-11-29 17:12:26",6,58,4048,1916,0,0,0,0,14
"2014-11-29 17:12:29",6,58,4048,1916,0,0,0,0,14
"2014-11-29 17:13:19",6,58,4048,1916,0,0,0,0,14
"2014-11-29 17:13:29",6,58,4048,1916,0,0,0,0,14
"2014-11-29 17:14:19",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:14:29",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:15:19",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:15:29",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:16:19",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:16:29",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:16:30",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:17:19",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:17:29",6,87,6317,3167,0,0,0,0,22
"2014-11-29 17:18:19",6,131,8292,4044,0,0,0,0,29
"2014-11-29 17:18:29",6,131,8292,4044,0,0,0,0,29
"2014-11-29 17:19:19",6,131,8292,4044,0,0,0,0,29
"2014-11-29 17:19:29",6,131,8292,4044,0,0,0,0,29
"2014-11-29 17:20:19",6,182,11789,5329,0,0,0,0,39
"2014-11-29 17:20:29",6,182,11789,5329,0,0,0,0,39
"2014-11-29 17:21:19",6,182,11789,5329,0,0,0,0,39
"2014-11-29 17:21:29",6,182,11789,5329,0,0,0,0,39
"2014-11-29 17:22:19",6,182,11789,5329,0,0,0,0,39
"2014-11-29 17:22:29",6,182,11789,5329,0,0,0,0,39
"2014-11-29 17:23:19",6,236,15675,6973,0,0,0,0,50
"2014-11-29 17:23:29",6,236,15675,6973,0,0,0,0,50
"2014-11-29 17:24:19",6,236,15675,6973,0,0,0,0,50
"2014-11-29 17:24:29",6,236,15675,6973,0,0,0,0,50
"2014-11-29 17:25:19",6,236,15675,6973,0,0,0,0,50
"2014-11-29 17:25:29",6,236,15675,6973,0,0,0,0,50
"2014-11-29 17:26:19",6,333,22161,9745,0,0,0,0,67
"2014-11-29 17:26:29",6,333,22161,9745,0,0,0,0,67
"2014-11-29 17:27:19",6,333,22161,9745,0,0,0,0,67
"2014-11-29 17:27:29",6,333,22161,9745,0,0,0,0,67
"2014-11-29 17:28:19",6,333,22161,9745,0,0,0,0,67
"2014-11-29 17:28:29",6,333,22161,9745,0,0,0,0,67
"2014-11-29 17:29:19",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:29:29",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:29:43",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:30:19",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:30:29",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:31:19",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:31:29",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:31:45",6,413,27170,11786,0,0,0,0,79
"2014-11-29 17:32:19",6,524,35274,15276,0,0,0,0,100
"2014-11-29 17:32:29",6,524,35274,15276,0,0,0,0,100
"2014-11-29 17:33:19",6,524,35274,15276,0,0,0,0,100
"2014-11-29 17:33:29",6,524,35274,15276,0,0,0,0,100
"2014-11-29 17:34:19",6,524,35274,15276,0,0,0,0,100
"2014-11-29 17:34:29",6,524,35274,15276,0,0,0,0,100
"2014-11-29 17:35:19",6,604,40910,17213,0,0,0,0,114
"2014-11-29 17:35:29",6,604,40910,17213,0,0,0,0,114
"2014-11-29 17:36:19",6,604,40910,17213,0,0,0,0,114
"2014-11-29 17:36:29",6,604,40910,17213,0,0,0,0,114
"2014-11-29 17:37:19",6,604,40910,17213,0,0,0,0,114
"2014-11-29 17:37:29",6,604,40910,17213,0,0,0,0,114
"2014-11-29 17:38:19",6,704,47429,19746,0,0,0,0,130
"2014-11-29 17:38:29",6,704,47429,19746,0,0,0,0,130
"2014-11-29 17:39:19",6,704,47429,19746,0,0,0,0,130
"2014-11-29 17:39:29",6,704,47429,19746,0,0,0,0,130
"2014-11-29 17:40:19",6,704,47429,19746,0,0,0,0,130
"2014-11-29 17:40:29",6,704,47429,19746,0,0,0,0,130
"2014-11-29 17:41:19",6,925,62027,25599,0,0,0,0,163
"2014-11-29 17:41:29",6,925,62027,25599,0,0,0,0,163
"2014-11-29 17:42:19",6,925,62027,25599,0,0,0,0,163
"2014-11-29 17:42:29",6,925,62027,25599,0,0,0,0,163
"2014-11-29 17:43:19",6,925,62027,25599,0,0,0,0,163
"2014-11-29 17:43:29",6,925,62027,25599,0,0,0,0,163
"2014-11-29 17:44:19",6,1124,75118,30593,0,0,0,0,192
"2014-11-29 17:44:29",6,1124,75118,30593,0,0,0,0,192
"2014-11-29 17:45:19",6,1124,75118,30593,0,0,0,0,192
"2014-11-29 17:45:29",6,1124,75118,30593,0,0,0,0,192
"2014-11-29 17:46:19",6,1124,75118,30593,0,0,0,0,192
"2014-11-29 17:46:29",6,1124,75118,30593,0,0,0,0,192
"2014-11-29 17:47:19",6,1365,89994,36123,0,0,0,0,222
"2014-11-29 17:47:29",6,1365,89994,36123,0,0,0,0,222
"2014-11-29 17:48:19",6,1365,89994,36123,0,0,0,0,222
"2014-11-29 17:48:29",6,1365,89994,36123,0,0,0,0,222
"2014-11-29 17:49:19",6,1365,89994,36123,0,0,0,0,222
"2014-11-29 17:49:29",6,1365,89994,36123,0,0,0,0,222
"2014-11-29 17:50:19",6,1613,106933,43248,0,0,0,0,257
"2014-11-29 17:50:29",6,1613,106933,43248,0,0,0,0,257
"2014-11-29 17:51:19",6,1613,106933,43248,0,0,0,0,257
"2014-11-29 17:51:29",6,1613,106933,43248,0,0,0,0,257
"2014-11-29 17:52:19",6,1613,106933,43248,0,0,0,0,257
"2014-11-29 17:52:29",6,1613,106933,43248,0,0,0,0,257
"2014-11-29 17:53:19",6,1900,126223,51222,0,0,0,0,296
"2014-11-29 17:53:29",6,1900,126223,51222,0,0,0,0,296
"2014-11-29 17:54:19",6,1900,126223,51222,0,0,0,0,296
"2014-11-29 17:54:29",6,1900,126223,51222,0,0,0,0,296
"2014-11-29 17:55:19",6,1900,126223,51222,0,0,0,0,296
"2014-11-29 17:55:29",6,1900,126223,51222,0,0,0,0,296
"2014-11-29 17:56:19",6,2161,142011,57472,0,0,0,0,328
"2014-11-29 17:56:29",6,2161,142011,57472,0,0,0,0,328
"2014-11-29 17:57:19",6,2161,142011,57472,0,0,0,0,328
"2014-11-29 17:57:29",6,2161,142011,57472,0,0,0,0,328
"2014-11-29 17:58:19",6,2161,142011,57472,0,0,0,0,328
"2014-11-29 17:58:29",6,2161,142011,57472,0,0,0,0,328
"2014-11-29 17:59:19",6,2475,162712,66105,0,0,0,0,369
"2014-11-29 17:59:29",6,2475,162712,66105,0,0,0,0,369
"2014-11-29 18:00:19",6,2475,162712,66105,0,0,0,0,369
"2014-11-29 18:00:29",6,2475,162712,66105,0,0,0,0,369
"2014-11-29 18:01:19",6,2475,162712,66105,0,0,0,0,369
"2014-11-29 18:01:29",6,2475,162712,66105,0,0,0,0,369
