"time","area","vote1","vote2","vote3","vote4","vote5","vote6","vote7","open"
"2014-11-29 16:48:03",5,111,35,0,0,0,0,0,1
"2014-11-29 16:48:34",5,111,35,0,0,0,0,0,1
"2014-11-29 16:49:03",5,111,35,0,0,0,0,0,1
"2014-11-29 16:49:34",5,111,35,0,0,0,0,0,1
"2014-11-29 16:50:04",5,111,35,0,0,0,0,0,1
"2014-11-29 16:50:34",5,111,35,0,0,0,0,0,1
"2014-11-29 16:51:34",5,429,98,0,0,0,0,0,3
"2014-11-29 16:52:34",5,429,98,0,0,0,0,0,3
"2014-11-29 16:53:07",5,429,98,0,0,0,0,0,3
"2014-11-29 16:53:34",5,429,98,0,0,0,0,0,3
"2014-11-29 16:54:08",5,635,263,0,0,0,0,0,5
"2014-11-29 16:54:34",5,635,263,0,0,0,0,0,5
"2014-11-29 16:55:34",5,635,263,0,0,0,0,0,5
"2014-11-29 16:56:34",5,635,263,0,0,0,0,0,5
"2014-11-29 16:57:34",5,932,324,0,0,0,0,0,6
"2014-11-29 16:58:34",5,932,324,0,0,0,0,0,6
"2014-11-29 16:59:34",5,932,324,0,0,0,0,0,6
"2014-11-29 17:00:34",5,1220,431,0,0,0,0,0,7
"2014-11-29 17:01:34",5,1220,431,0,0,0,0,0,7
"2014-11-29 17:02:16",5,1220,431,0,0,0,0,0,7
"2014-11-29 17:02:34",5,1220,431,0,0,0,0,0,7
"2014-11-29 17:03:17",5,1481,521,0,0,0,0,0,9
"2014-11-29 17:03:34",5,1481,521,0,0,0,0,0,9
"2014-11-29 17:04:34",5,1481,521,0,0,0,0,0,9
"2014-11-29 17:05:34",5,1481,521,0,0,0,0,0,9
"2014-11-29 17:06:34",5,1481,521,0,0,0,0,0,9
"2014-11-29 17:07:34",5,1481,521,0,0,0,0,0,9
"2014-11-29 17:08:22",5,2148,820,0,0,0,0,0,13
"2014-11-29 17:08:34",5,2148,820,0,0,0,0,0,13
"2014-11-29 17:09:34",5,2148,820,0,0,0,0,0,13
"2014-11-29 17:10:24",5,2148,820,0,0,0,0,0,13
"2014-11-29 17:10:34",5,2148,820,0,0,0,0,0,13
"2014-11-29 17:11:25",5,3233,1251,0,0,0,0,0,18
"2014-11-29 17:11:34",5,3233,1251,0,0,0,0,0,18
"2014-11-29 17:12:34",5,3233,1251,0,0,0,0,0,18
"2014-11-29 17:13:34",5,3233,1251,0,0,0,0,0,18
"2014-11-29 17:14:28",5,6689,2312,0,0,0,0,0,29
"2014-11-29 17:14:34",5,6689,2312,0,0,0,0,0,29
"2014-11-29 17:15:34",5,6689,2312,0,0,0,0,0,29
"2014-11-29 17:16:34",5,6689,2312,0,0,0,0,0,29
"2014-11-29 17:17:31",5,10354,3527,0,0,0,0,0,41
"2014-11-29 17:17:34",5,10354,3527,0,0,0,0,0,41
"2014-11-29 17:18:32",5,10354,3527,0,0,0,0,0,41
"2014-11-29 17:18:34",5,10354,3527,0,0,0,0,0,41
"2014-11-29 17:19:34",5,10354,3527,0,0,0,0,0,41
"2014-11-29 17:20:34",5,12709,4265,0,0,0,0,0,51
"2014-11-29 17:21:34",5,12709,4265,0,0,0,0,0,51
"2014-11-29 17:22:34",5,12709,4265,0,0,0,0,0,51
"2014-11-29 17:23:34",5,17134,5638,0,0,0,0,0,65
"2014-11-29 17:24:34",5,17134,5638,0,0,0,0,0,65
"2014-11-29 17:25:34",5,17134,5638,0,0,0,0,0,65
"2014-11-29 17:26:34",5,22410,7266,0,0,0,0,0,82
"2014-11-29 17:27:34",5,22410,7266,0,0,0,0,0,82
"2014-11-29 17:28:34",5,22410,7266,0,0,0,0,0,82
"2014-11-29 17:29:34",5,28361,9318,0,0,0,0,0,100
"2014-11-29 17:30:34",5,28361,9318,0,0,0,0,0,100
"2014-11-29 17:31:34",5,28361,9318,0,0,0,0,0,100
"2014-11-29 17:32:34",5,33018,11125,0,0,0,0,0,112
"2014-11-29 17:33:34",5,33018,11125,0,0,0,0,0,112
"2014-11-29 17:35:34",5,39020,13327,0,0,0,0,0,128
"2014-11-29 17:36:34",5,39020,13327,0,0,0,0,0,128
"2014-11-29 17:37:34",5,39020,13327,0,0,0,0,0,128
"2014-11-29 17:38:34",5,46282,15825,0,0,0,0,0,147
"2014-11-29 17:39:34",5,46282,15825,0,0,0,0,0,147
"2014-11-29 17:40:34",5,46282,15825,0,0,0,0,0,147
"2014-11-29 17:41:34",5,56189,19242,0,0,0,0,0,175
"2014-11-29 17:42:34",5,56189,19242,0,0,0,0,0,175
"2014-11-29 17:43:34",5,56189,19242,0,0,0,0,0,175
"2014-11-29 17:43:35",5,56189,19242,0,0,0,0,0,175
"2014-11-29 17:44:34",5,67904,23754,0,0,0,0,0,202
"2014-11-29 17:44:56",5,67904,23754,0,0,0,0,0,202
"2014-11-29 17:45:34",5,67904,23754,0,0,0,0,0,202
"2014-11-29 17:46:34",5,67904,23754,0,0,0,0,0,202
"2014-11-29 17:47:34",5,83467,29048,0,0,0,0,0,237
"2014-11-29 17:48:34",5,83467,29048,0,0,0,0,0,237
"2014-11-29 17:49:34",5,83467,29048,0,0,0,0,0,237
"2014-11-29 17:50:20",5,91160,32466,0,0,0,0,0,256
"2014-11-29 17:50:34",5,91160,32466,0,0,0,0,0,256
"2014-11-29 17:51:21",5,91160,32466,0,0,0,0,0,256
"2014-11-29 17:51:34",5,91160,32466,0,0,0,0,0,256
"2014-11-29 17:52:34",5,91160,32466,0,0,0,0,0,256
"2014-11-29 17:53:34",5,99252,36321,0,0,0,0,0,276
"2014-11-29 17:55:34",5,99252,36321,0,0,0,0,0,276
"2014-11-29 17:56:34",5,115738,42010,0,0,0,0,0,311
"2014-11-29 17:57:34",5,115738,42010,0,0,0,0,0,311
"2014-11-29 17:58:34",5,115738,42010,0,0,0,0,0,311
"2014-11-29 17:59:34",5,132281,47450,0,0,0,0,0,343
"2014-11-29 18:00:34",5,132281,47450,0,0,0,0,0,343
"2014-11-29 18:01:36",5,132281,47450,0,0,0,0,0,343
"2014-11-29 18:02:34",5,150189,53646,0,0,0,0,0,378
"2014-11-29 18:03:34",5,150189,53646,0,0,0,0,0,378
"2014-11-29 18:05:34",5,164360,58862,0,0,0,0,0,411
"2014-11-29 18:06:34",5,164360,58862,0,0,0,0,0,411
"2014-11-29 18:07:34",5,164360,58862,0,0,0,0,0,411
"2014-11-29 18:08:34",5,182986,65581,0,0,0,0,0,448
"2014-11-29 18:09:34",5,182986,65581,0,0,0,0,0,448
"2014-11-29 18:10:03",5,182986,65581,0,0,0,0,0,448
"2014-11-29 18:10:35",5,182986,65581,0,0,0,0,0,448
"2014-11-29 18:11:34",5,201384,73433,0,0,0,0,0,487
"2014-11-29 18:12:34",5,201384,73433,0,0,0,0,0,487
"2014-11-29 18:13:34",5,201384,73433,0,0,0,0,0,487
"2014-11-29 18:14:34",5,222887,80498,0,0,0,0,0,526
"2014-11-29 18:15:34",5,222887,80498,0,0,0,0,0,526
"2014-11-29 18:16:34",5,222887,80498,0,0,0,0,0,526
"2014-11-29 18:17:34",5,245157,88686,0,0,0,0,0,568
"2014-11-29 18:19:34",5,245157,88686,0,0,0,0,0,568
"2014-11-29 18:20:34",5,265386,96306,0,0,0,0,0,604
"2014-11-29 18:21:34",5,265386,96306,0,0,0,0,0,604
"2014-11-29 18:22:34",5,265386,96306,0,0,0,0,0,604
"2014-11-29 18:23:34",5,288808,104088,0,0,0,0,0,645
"2014-11-29 18:24:35",5,288808,104088,0,0,0,0,0,645
"2014-11-29 18:25:34",5,288808,104088,0,0,0,0,0,645
"2014-11-29 18:26:34",5,311784,112170,0,0,0,0,0,686
"2014-11-29 18:27:34",5,311784,112170,0,0,0,0,0,686
"2014-11-29 18:29:34",5,330256,119427,0,0,0,0,0,719
"2014-11-29 18:30:34",5,330256,119427,0,0,0,0,0,719
"2014-11-29 18:33:35",5,351019,126919,0,0,0,0,0,755
"2014-11-29 18:34:34",5,351019,126919,0,0,0,0,0,755
"2014-11-29 18:35:34",5,371428,134927,0,0,0,0,0,792
"2014-11-29 18:36:34",5,371428,134927,0,0,0,0,0,792
"2014-11-29 18:37:35",5,371428,134927,0,0,0,0,0,792
"2014-11-29 18:38:34",5,390004,141611,0,0,0,0,0,824
"2014-11-29 18:40:34",5,390004,141611,0,0,0,0,0,824
"2014-11-29 18:41:36",5,406874,147823,0,0,0,0,0,852
"2014-11-29 18:42:34",5,406874,147823,0,0,0,0,0,852
"2014-11-29 18:43:34",5,406874,147823,0,0,0,0,0,852
"2014-11-29 18:44:34",5,422715,153185,0,0,0,0,0,878
"2014-11-29 18:46:34",5,422715,153185,0,0,0,0,0,878
"2014-11-29 18:48:39",5,444652,161051,0,0,0,0,0,915
"2014-11-29 18:49:35",5,444652,161051,0,0,0,0,0,915
"2014-11-29 18:50:35",5,460729,166348,0,0,0,0,0,942
"2014-11-29 18:51:35",5,460729,166348,0,0,0,0,0,942
"2014-11-29 18:52:34",5,460729,166348,0,0,0,0,0,942
"2014-11-29 18:54:40",5,476159,172824,0,0,0,0,0,966
"2014-11-29 18:55:34",5,476159,172824,0,0,0,0,0,966
"2014-11-29 18:56:37",5,494498,179539,0,0,0,0,0,995
"2014-11-29 18:56:45",5,494498,179539,0,0,0,0,0,995
"2014-11-29 18:57:42",5,494498,179539,0,0,0,0,0,995
"2014-11-29 18:58:35",5,494498,179539,0,0,0,0,0,995
"2014-11-29 18:59:35",5,508542,184608,0,0,0,0,0,1016
"2014-11-29 19:01:34",5,508542,184608,0,0,0,0,0,1016
"2014-11-29 19:02:34",5,524780,190827,0,0,0,0,0,1042
"2014-11-29 19:03:34",5,524780,190827,0,0,0,0,0,1042
"2014-11-29 19:04:34",5,524780,190827,0,0,0,0,0,1042
"2014-11-29 19:06:34",5,537766,196077,0,0,0,0,0,1063
"2014-11-29 19:07:34",5,537766,196077,0,0,0,0,0,1063
"2014-11-29 19:08:34",5,549916,201068,0,0,0,0,0,1083
"2014-11-29 19:10:34",5,549916,201068,0,0,0,0,0,1083
"2014-11-29 19:11:34",5,569000,208295,0,0,0,0,0,1111
"2014-11-29 19:11:59",5,569000,208295,0,0,0,0,0,1111
"2014-11-29 19:12:34",5,569000,208295,0,0,0,0,0,1111
"2014-11-29 19:13:20",5,569000,208295,0,0,0,0,0,1111
"2014-11-29 19:14:34",5,578908,211945,0,0,0,0,0,1126
"2014-11-29 19:14:41",5,578908,211945,0,0,0,0,0,1126
"2014-11-29 19:16:34",5,578908,211945,0,0,0,0,0,1126
"2014-11-29 19:17:34",5,586458,214706,0,0,0,0,0,1137
"2014-11-29 19:19:34",5,586458,214706,0,0,0,0,0,1137
"2014-11-29 19:20:34",5,595479,218710,0,0,0,0,0,1151
"2014-11-29 19:21:22",5,595479,218710,0,0,0,0,0,1151
